model,year_1,price,transmission,mileage,fuelType,tax(£),mpg,engineSize,is_fake
 I20,2017,7999,Manual,17307,Petrol,145,58.9,1.2,0
 Tucson,2016,14499,Automatic,25233,Diesel,235,43.5,2.0,0
 Tucson,2016,11399,Manual,37877,Diesel,30,61.7,1.7,0
 I10,2016,6499,Manual,23789,Petrol,20,60.1,1.0,0
 IX35,2015,10199,Manual,33177,Diesel,160,51.4,2.0,0
 I10,2015,6149,Manual,41650,Petrol,20,60.1,1.0,0
 I20,2015,6799,Manual,39547,Petrol,30,55.4,1.2,0
 Tucson,2016,14199,Automatic,30300,Diesel,125,57.6,1.7,0
 I30,2018,10399,Automatic,38082,Petrol,145,51.4,1.4,0
 Tucson,2016,12163,Manual,21014,Diesel,30,61.7,1.7,0
 Tucson,2017,13200,Manual,22888,Diesel,150,61.7,1.7,0
 I30,2017,10000,Manual,20000,Petrol,150,56.5,1.0,0
 I20,2015,6900,Manual,26413,Petrol,30,55.4,1.2,0
 Tucson,2019,17750,Manual,10000,Petrol,150,34.9,1.6,0
 Tucson,2017,14600,Semi-Auto,18626,Diesel,125,57.6,1.7,0
 I40,2015,8700,Manual,31979,Diesel,30,65.7,1.7,0
 Tucson,2017,13000,Manual,26685,Diesel,30,61.7,1.7,0
 I10,2018,7100,Manual,35000,Petrol,145,60.1,1.0,0
 I10,2016,7500,Manual,6000,Petrol,20,57.6,1.2,0
 Tucson,2017,12000,Manual,17059,Diesel,30,61.7,1.7,0
 Tucson,2017,11695,Manual,49174,Petrol,145,44.8,1.6,0
 I20,2015,7995,Manual,6413,Petrol,30,55.4,1.2,0
 Tucson,2015,10700,Manual,34177,Diesel,30,61.7,1.7,0
 I10,2016,8100,Manual,7447,Petrol,30,57.6,1.2,0
 IX35,2013,8200,Manual,34500,Diesel,145,53.3,1.7,0
 I10,2016,6600,Manual,16751,Petrol,30,57.6,1.2,0
 Tucson,2018,13900,Manual,16265,Petrol,150,44.8,1.6,0
 Tucson,2018,13700,Manual,19087,Petrol,145,44.8,1.6,0
 I30,2017,8300,Manual,38206,Diesel,145,78.4,1.6,0
 Tucson,2016,15800,Automatic,20025,Diesel,125,57.6,1.7,0
 Ioniq,2018,15000,Automatic,32227,Hybrid,135,78.5,1.6,0
 Tucson,2015,15200,Automatic,28904,Diesel,200,46.3,0.0,0
 I10,2014,7700,Automatic,8646,Petrol,160,45.6,0.0,0
 I30,2017,10500,Automatic,17663,Diesel,20,72.4,0.0,0
 I20,2017,11400,Automatic,12661,Petrol,145,44.1,0.0,0
 Kona,2018,12995,Manual,7359,Petrol,145,52.3,1.0,0
 Tucson,2019,18000,Manual,4353,Petrol,145,35.3,1.6,0
 I10,2018,9000,Manual,7126,Petrol,145,60.1,0.0,0
 Veloster,2014,8300,Manual,36324,Petrol,160,43.5,1.6,0
 I10,2018,8500,Manual,12948,Petrol,145,60.1,0.0,0
 I30,2019,14500,Manual,2481,Petrol,145,41.5,0.0,0
 Tucson,2016,13800,Manual,27311,Diesel,30,61.7,0.0,0
 I30,2016,9000,Manual,34443,Diesel,0,78.4,0.0,0
 Tucson,2017,13800,Manual,16961,Diesel,30,61.7,0.0,0
 Tucson,2017,14100,Manual,5067,Petrol,145,44.8,1.6,0
 I10,2013,5000,Manual,45230,Petrol,20,61.4,0.0,0
 I10,2018,10300,Manual,6349,Petrol,145,57.6,0.0,0
 I40,2015,11500,Manual,13268,Diesel,30,65.7,0.0,0
 I30,2016,9000,Manual,29610,Diesel,0,78.4,0.0,0
 IX35,2015,11400,Manual,23041,Diesel,165,51.4,0.0,0
 I20,2017,10000,Manual,21821,Petrol,145,61.4,0.0,0
 I10,2018,7800,Manual,17397,Petrol,150,60.1,0.0,0
 I10,2016,6300,Manual,31854,Petrol,20,60.1,0.0,0
 Tucson,2016,11300,Manual,37993,Diesel,30,61.7,0.0,0
 I800,2018,15500,Manual,30305,Diesel,145,31.7,0.0,0
 I20,2018,11700,Manual,3920,Petrol,150,46.3,0.0,0
 Tucson,2017,16800,Manual,21875,Petrol,145,38.7,1.6,0
 I10,2016,6500,Manual,27465,Petrol,20,60.1,1.0,0
 I10,2019,8600,Manual,4920,Petrol,145,60.1,1.0,0
 I30,2016,9400,Manual,18577,Petrol,145,48.7,1.4,0
 IX20,2013,6000,Manual,42320,Petrol,145,45.6,1.4,0
 Tucson,2017,15000,Manual,23310,Diesel,30,61.7,0.0,0
 Tucson,2019,15000,Manual,22397,Petrol,150,34.9,0.0,0
 Tucson,2019,16300,Manual,10066,Petrol,150,34.9,0.0,0
 I10,2018,8300,Manual,13148,Petrol,150,60.1,0.0,0
 I800,2019,18500,Manual,7691,Diesel,150,31.7,0.0,0
 Tucson,2016,12300,Manual,21898,Diesel,30,61.7,1.7,0
 I10,2016,6500,Manual,24740,Petrol,20,60.1,1.0,0
 I10,2014,5500,Manual,20127,Petrol,20,60.1,1.0,0
 I800,2018,15299,Automatic,34103,Diesel,145,33.6,2.5,0
 IX20,2016,9000,Manual,21152,Diesel,30,64.2,1.6,0
 I10,2017,7600,Manual,15618,Petrol,145,60.1,1.0,0
 I10,2017,7300,Manual,15594,Petrol,20,60.1,0.0,0
 I20,2015,7500,Manual,28123,Petrol,30,56.5,0.0,0
 Ioniq,2019,19800,Automatic,1963,Petrol,135,78.5,1.6,0
 I10,2015,7500,Manual,13637,Petrol,30,57.6,0.0,0
 Tucson,2017,15700,Automatic,7457,Diesel,125,57.6,0.0,0
 I20,2017,8500,Manual,16708,Petrol,145,58.9,0.0,0
 Tucson,2017,12000,Manual,2236,Petrol,160,44.8,1.6,0
 I30,2018,9299,Manual,21859,Petrol,145,56.5,1.0,0
 Tucson,2016,11599,Manual,31480,Diesel,30,61.7,1.7,0
 I10,2017,7000,Manual,31696,Petrol,145,57.7,1.2,0
 I10,2017,8000,Manual,16636,Petrol,145,60.1,0.0,0
 I20,2017,8600,Manual,19398,Petrol,30,58.9,0.0,0
 I30,2016,8900,Manual,18257,Diesel,0,78.4,1.6,0
 IX35,2014,9800,Manual,35541,Diesel,145,53.3,1.7,0
 I10,2015,6800,Manual,22211,Petrol,20,60.1,1.0,0
 I30,2018,11531,Automatic,35097,Petrol,145,51.4,1.4,0
 I40,2016,11400,Automatic,27712,Diesel,125,56.5,1.7,0
 IX20,2016,7194,Manual,27696,Petrol,125,50.4,1.4,0
 I10,2015,6500,Manual,12731,Petrol,30,57.6,1.2,0
 Tucson,2018,12556,Manual,20443,Petrol,145,44.8,1.6,0
 I10,2014,5644,Manual,40248,Petrol,20,60.1,1.0,0
 I10,2017,7799,Manual,21321,Petrol,145,57.7,1.2,0
 IX35,2011,6936,Manual,72436,Diesel,200,47.9,2.0,0
 I10,2018,9499,Automatic,8418,Petrol,145,47.9,1.2,0
 IX35,2012,5000,Manual,119050,Diesel,150,48.7,1.7,0
 I30,2018,9000,Manual,15804,Petrol,145,57.7,1.0,0
 I800,2017,13499,Automatic,44749,Diesel,145,33.6,2.5,0
 I10,2016,6000,Manual,23176,Petrol,30,57.6,1.2,0
 I10,2018,8495,Automatic,28889,Petrol,145,47.9,1.2,0
 I20,2019,11995,Manual,3300,Petrol,145,46.3,1.2,0
 I10,2018,6350,Manual,31738,Petrol,145,60.1,1.0,0
 I20,2019,11795,Manual,5409,Petrol,150,46.3,1.2,0
 Tucson,2016,13300,Manual,25071,Diesel,30,61.7,1.7,0
 Tucson,2018,13950,Manual,17427,Petrol,150,44.8,1.6,0
 Tucson,2019,15600,Manual,8000,Petrol,150,34.9,1.6,0
 Tucson,2016,12795,Manual,26804,Diesel,30,61.7,1.7,0
 I10,2014,6600,Manual,31090,Petrol,30,57.6,0.0,0
 Veloster,2012,6300,Manual,60200,Petrol,165,43.5,1.6,0
 Santa Fe,2014,15500,Automatic,37006,Diesel,265,41.5,2.2,0
 Tucson,2019,15400,Manual,12254,Petrol,150,34.9,1.6,0
 I30,2016,8900,Manual,17350,Petrol,145,48.7,1.4,0
 Tucson,2017,14100,Semi-Auto,27299,Diesel,145,57.6,1.7,0
 Tucson,2017,13100,Manual,21119,Diesel,30,61.7,1.7,0
 Tucson,2017,12600,Manual,36750,Diesel,30,61.7,1.7,0
 Tucson,2016,12950,Manual,37350,Diesel,125,58.9,2.0,0
 Tucson,2018,13300,Manual,29413,Petrol,150,44.8,1.6,0
 Tucson,2017,12700,Manual,33808,Diesel,30,61.7,1.7,0
 IX35,2015,9700,Manual,26564,Petrol,200,41.5,0.0,0
 IX35,2014,8700,Manual,54304,Diesel,145,53.3,0.0,0
 I20,2016,7500,Manual,41496,Petrol,30,56.5,0.0,0
 IX20,2014,6500,Manual,38601,Petrol,125,50.4,0.0,0
 I10,2017,7000,Manual,31232,Petrol,145,57.7,0.0,0
 I20,2019,12000,Manual,7061,Petrol,145,46.3,1.2,0
 I30,2015,8250,Manual,29980,Diesel,0,78.4,1.6,0
 I20,2017,7999,Manual,44120,Petrol,150,62.8,1.0,0
 IX35,2011,7799,Automatic,48528,Diesel,300,39.2,2.0,0
 Tucson,2016,14999,Automatic,20645,Diesel,205,47.1,2.0,0
 Santa Fe,2017,18999,Automatic,20599,Diesel,150,42.8,2.2,0
 I10,2012,3799,Manual,56582,Petrol,20,61.4,1.2,0
 I30,2015,7803,Manual,43022,Diesel,0,78.4,1.6,0
 Tucson,2016,12995,Manual,37688,Diesel,30,61.7,1.7,0
 Tucson,2016,16498,Automatic,12163,Diesel,200,46.3,2.0,0
 I30,2015,8998,Manual,16412,Petrol,145,48.7,1.4,0
 Kona,2019,14298,Manual,6874,Petrol,145,44.1,1.0,0
 IX35,2013,7298,Manual,50998,Diesel,145,48.7,1.7,0
 I10,2016,5998,Manual,41883,Petrol,30,57.6,1.2,0
 I30,2018,11998,Manual,5404,Diesel,145,74.3,1.6,0
 I800,2018,15998,Manual,36815,Diesel,145,28.0,2.5,0
 I10,2014,5498,Manual,13840,Petrol,20,60.1,1.0,0
 I30,2016,7498,Manual,56693,Diesel,0,78.4,1.6,0
 IX20,2015,6498,Manual,57819,Petrol,125,50.4,1.4,0
